Id,SalePrice
1461,121568.16
1462,154164.37
1463,174145.06
1464,182168.82
1465,200878.8
1466,181173.1
1467,176765.39
1468,177636.12
1469,185428.2
1470,112961.01
1471,201948.29
1472,97806.0
1473,97645.21
1474,147661.0
1475,125278.6
1476,417680.91
1477,256874.98
1478,293230.3
1479,258007.84
1480,486342.0
1481,323409.82
1482,209426.23
1483,182600.64
1484,167716.65
1485,181611.76
1486,196732.45
1487,331305.26
1488,197460.28
1489,209527.43
1490,205405.02
1491,187492.35
1492,103565.98
1493,185312.96
1494,329739.0
1495,308855.61
1496,216102.21
1497,175051.33
1498,157167.32
1499,158777.0
1500,161853.58
1501,171081.0
1502,156904.83
1503,323189.83
1504,240059.0
1505,211837.99
1506,187280.61
1507,228232.8
1508,191031.0
1509,159012.75
1510,145366.09
1511,142072.5
1512,154566.65
1513,163411.9
1514,140337.83
1515,197506.72
1516,173929.32
1517,152307.33
1518,135625.83
1519,220610.36
1520,131979.5
1521,133957.5
1522,160088.0
1523,115579.28
1524,120461.05
1525,121416.98
1526,120826.05
1527,112681.76
1528,131500.75
1529,134152.87
1530,169539.5
1531,143602.37
1532,113322.0
1533,149565.5
1534,120890.71
1535,146622.5
1536,113225.98
1537,109912.66
1538,164717.84
1539,224834.69
1540,122495.79
1541,149395.65
1542,135282.84
1543,217392.86
1544,93824.37
1545,103836.0
1546,136511.74
1547,141572.5
1548,131016.99
1549,117155.5
1550,142113.92
1551,124450.0
1552,141637.9
1553,144966.5
1554,123875.75
1555,165747.06
1556,105570.28
1557,116900.59
1558,97398.0
1559,114027.76
1560,144898.0
1561,129567.96
1562,129512.5
1563,122694.0
1564,154142.67
1565,152147.69
1566,226379.73
1567,92829.0
1568,205117.8
1569,124353.14
1570,132124.75
1571,130933.0
1572,143697.25
1573,236860.7
1574,132652.8
1575,204493.68
1576,220908.27
1577,202979.68
1578,170563.25
1579,144988.6
1580,193655.0
1581,132418.34
1582,125910.5
1583,330428.52
1584,245524.0
1585,141710.0
1586,78990.0
1587,104811.33
1588,140488.92
1589,105728.52
1590,137676.0
1591,104546.64
1592,135184.1
1593,129959.0
1594,134369.43
1595,125338.37
1596,216129.52
1597,146493.58
1598,199690.4
1599,181897.0
1600,188453.46
1601,67857.0
1602,112427.0
1603,94249.51
1604,270760.0
1605,286537.37
1606,174284.9
1607,186221.09
1608,232314.8
1609,200032.57
1610,166976.4
1611,153663.24
1612,168773.12
1613,174446.66
1614,121035.74
1615,87189.0
1616,81858.0
1617,83888.0
1618,125393.75
1619,133592.75
1620,173210.57
1621,138534.06
1622,139931.23
1623,297068.0
1624,200663.5
1625,125637.08
1626,182786.0
1627,179266.14
1628,276959.76
1629,177382.35
1630,309935.35
1631,232990.11
1632,257872.23
1633,174571.25
1634,184727.0
1635,181109.8
1636,168576.16
1637,183758.9
1638,204762.5
1639,179801.5
1640,258301.53
1641,175232.86
1642,227799.99
1643,227709.26
1644,223721.76
1645,197046.4
1646,166502.82
1647,166561.64
1648,134173.0
1649,135690.5
1650,114310.31
1651,122622.96
1652,98326.0
1653,100853.0
1654,148965.0
1655,156592.63
1656,146765.5
1657,148526.5
1658,146314.0
1659,130016.0
1660,146691.08
1661,439399.65
1662,394603.21
1663,346557.36
1664,470430.33
1665,309267.91
1666,295985.68
1667,335536.49
